benchmark,result
test/demo/demo/demo.-O0.smt2,unsat
test/demo/demo/demo.-O2.smt2,unsat
test/demo/03/03.-O0.smt2,sat
test/demo/03/03.-O2.smt2,unknown
test/demo/04/04.-O0.smt2,unknown
test/demo/04/04.-O2.smt2,sat
test/demo/32/32.-O2.smt2,unknown
test/demo/32/32.-O0.smt2,unsat
test/demo/yz_plus_minus/yz_plus_minus.-O2.smt2,sat
test/demo/yz_plus_minus/yz_plus_minus.-O0.smt2,sat
test/demo/35/35.-O2.smt2,sat
test/demo/35/35.-O0.smt2,unknown
test/demo/34/34.-O2.smt2,unsat
test/demo/34/34.-O0.smt2,unsat
test/demo/33/33.-O2.smt2,unknown
test/demo/33/33.-O0.smt2,unknown
test/demo/multiple_inv/multiple_inv.-O2.smt2,unsat
test/demo/multiple_inv/multiple_inv.-O0.smt2,unsat
test/demo/02/02.-O0.smt2,unsat
test/demo/02/02.-O2.smt2,unsat
test/demo/relation/relation.-O2.smt2,unsat
test/demo/relation/relation.-O0.smt2,sat
test/demo/g1/g1.-O2.smt2,sat
test/demo/g1/g1.-O0.smt2,unknown
test/demo/count_by_2/count_by_2.-O0.smt2,sat
test/demo/count_by_2/count_by_2.-O2.smt2,unknown
test/demo/s_mutants_05/s_mutants_05.-O2.smt2,unsat
test/demo/s_mutants_05/s_mutants_05.-O0.smt2,unsat
test/demo/valigator1/valigator1.-O0.smt2,sat
test/demo/valigator1/valigator1.-O2.smt2,sat
test/demo/valigator6/valigator6.-O0.smt2,sat
test/demo/valigator6/valigator6.-O2.smt2,unknown
test/demo/vpr/vpr.-O0.smt2,unsat
test/demo/vpr/vpr.-O2.smt2,unsat
test/demo/ex9/ex9.-O2.smt2,sat
test/demo/ex9/ex9.-O0.smt2,sat
test/demo/example/example.-O2.smt2,sat
test/demo/example/example.-O0.smt2,sat
test/demo/s_mutants_16/s_mutants_16.-O0.smt2,sat
test/demo/s_mutants_16/s_mutants_16.-O2.smt2,unknown
test/demo/speedmeter/speedmeter.-O2.smt2,sat
test/demo/speedmeter/speedmeter.-O0.smt2,unknown
test/demo/ex6/ex6.-O0.smt2,unknown
test/demo/ex6/ex6.-O2.smt2,sat
test/demo/ex1/ex1.-O0.smt2,sat
test/demo/ex1/ex1.-O2.smt2,sat
test/demo/ssft1/ssft1.-O2.smt2,unknown
test/demo/ssft1/ssft1.-O0.smt2,sat
test/demo/yz_plus_minus2/yz_plus_minus2.-O2.smt2,sat
test/demo/yz_plus_minus2/yz_plus_minus2.-O0.smt2,sat
test/demo/ex8/ex8.-O2.smt2,unsat
test/demo/ex8/ex8.-O0.smt2,sat
test/demo/menlopark/menlopark.-O0.smt2,unsat
test/demo/menlopark/menlopark.-O2.smt2,unsat
test/demo/uautomizer5/uautomizer5.-O2.smt2,unsat
test/demo/uautomizer5/uautomizer5.-O0.smt2,sat
test/demo/18/18.-O0.smt2,sat
test/demo/18/18.-O2.smt2,sat
test/demo/27/27.-O0.smt2,unknown
test/demo/27/27.-O2.smt2,sat
test/demo/11/11.-O2.smt2,sat
test/demo/11/11.-O0.smt2,unknown
test/demo/16/16.-O2.smt2,unsat
test/demo/16/16.-O0.smt2,unknown
test/demo/42/42.-O2.smt2,unknown
test/demo/42/42.-O0.smt2,unknown
test/demo/45/45.-O2.smt2,unsat
test/demo/45/45.-O0.smt2,unknown
test/demo/GCD/GCD.-O2.smt2,unknown
test/demo/GCD/GCD.-O0.smt2,unknown
test/demo/28/28.-O2.smt2,unknown
test/demo/28/28.-O0.smt2,sat
test/demo/17/17.-O2.smt2,sat
test/demo/17/17.-O0.smt2,sat
test/demo/10/10.-O2.smt2,sat
test/demo/10/10.-O0.smt2,unknown
test/demo/19/19.-O0.smt2,sat
test/demo/19/19.-O2.smt2,unknown
test/demo/26/26.-O0.smt2,unknown
test/demo/26/26.-O2.smt2,unknown
test/demo/21/21.-O0.smt2,unknown
test/demo/21/21.-O2.smt2,unknown
test/demo/conj/conj.-O2.smt2,sat
test/demo/conj/conj.-O0.smt2,sat
test/demo/spec2000/spec2000.-O2.smt2,unknown
test/demo/spec2000/spec2000.-O0.smt2,sat
test/demo/44/44.-O2.smt2,unknown
test/demo/44/44.-O0.smt2,unknown
test/demo/43/43.-O2.smt2,unsat
test/demo/43/43.-O0.smt2,unknown
test/demo/38/38.-O2.smt2,unsat
test/demo/38/38.-O0.smt2,unsat
test/demo/36/36.-O0.smt2,unknown
test/demo/36/36.-O2.smt2,unsat
test/demo/09/09.-O0.smt2,sat
test/demo/09/09.-O2.smt2,unsat
test/demo/31/31.-O0.smt2,sat
test/demo/31/31.-O2.smt2,unsat
test/demo/three_dots_moving/three_dots_moving.-O0.smt2,unsat
test/demo/three_dots_moving/three_dots_moving.-O2.smt2,unsat
test/demo/forward-backward/forward-backward.-O2.smt2,unsat
test/demo/forward-backward/forward-backward.-O0.smt2,unsat
test/demo/sqrt/sqrt.-O0.smt2,sat
test/demo/sqrt/sqrt.-O2.smt2,unknown
test/demo/ex11/ex11.-O0.smt2,unsat
test/demo/ex11/ex11.-O2.smt2,unsat
test/demo/30/30.-O0.smt2,sat
test/demo/30/30.-O2.smt2,unknown
test/demo/37/37.-O0.smt2,unknown
test/demo/37/37.-O2.smt2,unsat
test/demo/01/01.-O2.smt2,unsat
test/demo/01/01.-O0.smt2,unsat
test/demo/06/06.-O2.smt2,unknown
test/demo/06/06.-O0.smt2,unknown
test/demo/39/39.-O2.smt2,unknown
test/demo/39/39.-O0.smt2,unknown
test/demo/ex10/ex10.-O0.smt2,unsat
test/demo/ex10/ex10.-O2.smt2,unsat
test/demo/valigator3/valigator3.-O2.smt2,unsat
test/demo/valigator3/valigator3.-O0.smt2,unknown
test/demo/g2/g2.-O0.smt2,unknown
test/demo/g2/g2.-O2.smt2,unknown
test/demo/bouncy2/bouncy2.-O2.smt2,unknown
test/demo/bouncy2/bouncy2.-O0.smt2,unknown
test/demo/valigator5/valigator5.-O2.smt2,unknown
test/demo/valigator5/valigator5.-O0.smt2,sat
test/demo/relation2/relation2.-O2.smt2,unknown
test/demo/relation2/relation2.-O0.smt2,sat
test/demo/threeloopserr/threeloopserr.-O2.smt2,unsat
test/demo/threeloopserr/threeloopserr.-O0.smt2,unsat
test/demo/uautomizer0/uautomizer0.-O0.smt2,sat
test/demo/uautomizer0/uautomizer0.-O2.smt2,sat
test/demo/s_mutants_23/s_mutants_23.-O0.smt2,unknown
test/demo/s_mutants_23/s_mutants_23.-O2.smt2,unknown
test/demo/ex4/ex4.-O2.smt2,unknown
test/demo/ex4/ex4.-O0.smt2,unknown
test/demo/fibo/fibo.-O2.smt2,unsat
test/demo/fibo/fibo.-O0.smt2,unsat
test/demo/ex3/ex3.-O2.smt2,unsat
test/demo/ex3/ex3.-O0.smt2,unsat
test/demo/ssft3/ssft3.-O0.smt2,sat
test/demo/ssft3/ssft3.-O2.smt2,sat
test/demo/forward-backward2/forward-backward2.-O2.smt2,unsat
test/demo/forward-backward2/forward-backward2.-O0.smt2,unsat
test/demo/ex2/ex2.-O2.smt2,sat
test/demo/ex2/ex2.-O0.smt2,sat
test/demo/sumn/sumn.-O0.smt2,unknown
test/demo/sumn/sumn.-O2.smt2,unknown
test/demo/ex5/ex5.-O2.smt2,unsat
test/demo/ex5/ex5.-O0.smt2,unsat
test/demo/urn/urn.-O2.smt2,unknown
test/demo/urn/urn.-O0.smt2,sat
test/demo/41/41.-O0.smt2,unknown
test/demo/41/41.-O2.smt2,unknown
test/demo/24/24.-O2.smt2,sat
test/demo/24/24.-O0.smt2,sat
test/demo/McCarthy/McCarthy.-O2.smt2,unknown
test/demo/McCarthy/McCarthy.-O0.smt2,sat
test/demo/23/23.-O2.smt2,unsat
test/demo/23/23.-O0.smt2,sat
test/demo/15/15.-O0.smt2,unknown
test/demo/15/15.-O2.smt2,unknown
test/demo/12/12.-O0.smt2,unsat
test/demo/12/12.-O2.smt2,unsat
test/demo/polyhedra/polyhedra.-O0.smt2,unknown
test/demo/polyhedra/polyhedra.-O2.smt2,unknown
test/demo/47/47.-O0.smt2,sat
test/demo/47/47.-O2.smt2,sat
test/demo/13/13.-O0.smt2,unknown
test/demo/13/13.-O2.smt2,unsat
test/demo/phases_m/phases_m.-O2.smt2,sat
test/demo/phases_m/phases_m.-O0.smt2,unknown
test/demo/22/22.-O2.smt2,unknown
test/demo/22/22.-O0.smt2,sat
test/demo/25/25.-O2.smt2,unsat
test/demo/25/25.-O0.smt2,unsat
test/depthk/sas07/sas07.-O2.smt2,unknown
test/depthk/sas07/sas07.-O0.smt2,sat
